Parameter,Dry Pond,Wet Pond,Infiltration Basin,Dry Well,Infiltration Trench,Sand Filter,Porous Pavement,Grassed Swale,Vegetated Filter Strip,Bioretention,Rain Garden,Tree Box,Constructed Wetland
Peak Flow,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,100%
TSS,60%,80%,95%,80%,95%,85%,74%,85%,85%,80%,80%,80%,100%
TP,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
TN,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
NO3,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
PO4,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Zn,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Cu,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Pb,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
As,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Cr,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Ni,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Fe,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Fecal coliform,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
E. coli,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
