Year,"Atlanta, GA","Baltimore, MD","Birmingham, AL","Boston, MA","Chicago, IL","Cincinnati, OH","Cleveland, OH","Dallas, TX","Denver, CO","Detroit, MI","Kansas City, MO","Los Angeles, CA","Minneapolis, MN","New Orleans, LA","New York, NY","Philadelphia, PA","Pittsburgh, PA","San Francisco, CA","Seattle, WA","St.Louis, MO"
1978,2172.6,2396.39,2283.3,2772.83,2981.85,3088.21,3267.97,2082.95,2564.77,3223.97,3039.64,3421.25,2902.6,2346.65,3325.43,2839.24,2945.44,3412.2,3197.0,3105.71
1979,2358.43,2719.34,2431.67,3096.16,3266.78,3349.05,3565.5,2427.24,2739.14,3492.04,3256.47,3638.81,3154.37,2693.75,3580.5,3183.93,3180.57,3806.14,3497.64,3344.2
1980,2535.72,2904.39,2558.45,3173.98,3497.25,3609.93,3860.76,2683.34,2947.14,3798.23,3551.83,4102.37,3238.86,2792.99,3774.64,3233.59,3383.37,4371.96,3909.16,3578.4
1981,2801.31,3060.78,2768.12,3659.88,3749.45,4045.44,4379.04,2975.25,3200.57,4138.17,3838.22,4530.96,3612.6,3087.99,4125.68,3603.48,3653.46,4592.45,4230.36,3834.64
1982,3034.47,3097.4,2853.6,3993.72,4106.45,4234.64,4669.64,3192.54,3445.7,4244.91,4069.74,4934.14,3924.98,3294.66,4553.93,3858.5,3894.97,4993.3,4490.38,4107.49
1983,2909.0,3107.35,2983.6,4204.75,4235.73,4398.6,4847.04,3263.61,3690.22,4375.55,4199.38,5063.89,4322.45,3444.58,4887.55,4175.74,4077.51,5122.74,4559.55,4325.69
1984,2898.53,3158.77,3074.83,4497.4,4319.75,4437.58,5073.08,2950.4,3106.45,4331.1,4200.58,5259.93,4209.93,3427.64,5160.95,4437.81,4234.49,5049.13,4546.01,4511.37
1985,2909.71,3236.9,3037.76,4685.85,4367.28,4548.2,4992.32,2997.36,3316.24,4468.09,4337.4,5446.69,4303.33,3411.86,5388.08,4549.62,4208.63,5055.04,4563.1,4733.37
1986,3018.67,3372.26,3083.92,4722.66,4495.88,4567.24,5061.56,3152.84,3503.37,4674.95,4485.48,5452.2,4406.75,3513.96,5621.15,4678.78,4280.39,5508.43,4585.4,4827.92
1987,3094.92,3560.91,3251.65,4941.39,4686.53,4647.13,5251.44,2985.85,3506.95,4859.89,4599.98,5474.14,4494.16,3572.49,5961.27,4883.56,4311.93,5732.37,4684.28,5056.78
1988,3107.63,3576.83,3331.21,5137.58,4844.48,4700.51,5237.37,3184.72,3538.26,5092.67,4667.26,5770.84,4582.99,3571.19,6231.12,5064.2,4331.7,5734.48,4738.35,5061.56
1989,3141.55,3707.18,3413.76,5373.14,4957.69,4877.51,5161.68,3208.39,3641.78,5171.88,4719.9,5789.77,4804.75,3590.13,6453.56,5299.78,4425.57,5932.57,4898.01,5132.97
