ID,Sub,area (ac),imp (%),runoff depth(in),Peak flow-raw (cfs),Total runoff (10^6 gal),TSS (lb),TP (lb),TN (lb),NO3 (lb),PO4 (lb),Zn (lb),Cu (lb),Pb (lb),As (lb),Cr (lb),Ni (lb),Fe (lb),Fecal coliform (lb),E. coli (lb)
1,Sub1,255,48.2,0.64,43.1,4.4315328,43400.16,0,0,0,0,0,0,0,0,0,0,0,15624057.71,14322052.9
2,Sub2,73,42.4,0.1,0.66,0.21,9.192,0,0,0,0,0,0,0,0,0,0,0,3309.132,3033.371
3,Sub3,30.7,44.3,1.09,120.32,0.908654302,79241.774,0,0,0,0,0,0,0,0,0,0,0,28527038.48,26149785.28
4,Sub4,94.1,43.9,0.91,258.4,2.325224174,451630.143,0,0,0,0,0,0,0,0,0,0,0,162586851.4,149037947.1
5,Sub5,140,44.2,0.1,1.07,0.380156,2598.999,0,0,0,0,0,0,0,0,0,0,0,935639.544,857669.582
6,Sub6,124,52.4,0.84,118.44,2.82836064,62919.613,0,0,0,0,0,0,0,0,0,0,0,22651060.72,20763472.32
7,Sub7,58.9,4.9,0.02,2.74,0.031987412,21.558,0,0,0,0,0,0,0,0,0,0,0,7760.97,7114.223
8,Sub8,60.2,40.5,0.89,160.73,1.454857012,157865.339,0,0,0,0,0,0,0,0,0,0,0,56831521.94,52095561.78
9,Sub9,22.4,41.8,0.86,62.61,0.523094656,2241.547,0,0,0,0,0,0,0,0,0,0,0,806956.849,739710.445
10,Sub10,54.4,27.7,0.3,9.96,0.44315328,672.091,0,0,0,0,0,0,0,0,0,0,0,241952.671,221789.948
11,Sub11,125,5.4,0.02,6.53,0.067885,341.251,0,0,0,0,0,0,0,0,0,0,0,122850.438,112612.902
12,Sub12,150,46.8,0.07,0.68,0.285117,1224.26,0,0,0,0,0,0,0,0,0,0,0,440733.749,404005.937
13,Sub13,107,61.6,0.23,8.12,0.66825994,7787.504,0,0,0,0,0,0,0,0,0,0,0,2803501.432,2569876.313
14,Sub14,41,62.3,0.25,4.28,0.2783285,2721.553,0,0,0,0,0,0,0,0,0,0,0,979759.22,898112.618
15,Sub15,41,26.5,0.43,3.76,0.47872502,24.667,0,0,0,0,0,0,0,0,0,0,0,8880.223,8140.204
16,Sub16,264,10.2,0.04,2.58,0.28674624,585.536,0,0,0,0,0,0,0,0,0,0,0,210792.91,193226.835
17,Sub17,28,50.9,0.19,2.03,0.14445928,79.963,0,0,0,0,0,0,0,0,0,0,0,28786.59,26387.707
18,Sub18,28,40.7,0.17,3.44,0.12925304,1837.383,0,0,0,0,0,0,0,0,0,0,0,661457.726,606336.249
19,Sub19,31,50,0.21,4.03,0.17677254,660.204,0,0,0,0,0,0,0,0,0,0,0,237673.539,217867.41
20,Sub20,20,54.4,0.21,1.62,0.1140468,355.113,0,0,0,0,0,0,0,0,0,0,0,127840.851,117187.446
21,Sub21,13,41.8,0.29,4.62,0.10237058,136.263,0,0,0,0,0,0,0,0,0,0,0,49054.558,44966.678
22,Sub22,23,40,0.19,4.67,0.11866298,217.078,0,0,0,0,0,0,0,0,0,0,0,78147.985,71635.653
23,Sub23,16,44.1,0.25,0.74,0.108616,62.132,0,0,0,0,0,0,0,0,0,0,0,22367.488,20503.531
24,Sub24,20,52,0.84,2.6,0.4561872,520.786,0,0,0,0,0,0,0,0,0,0,0,187482.855,171859.284
25,Sub25,40,53.6,0.12,0.4,0.1303392,252.056,0,0,0,0,0,0,0,0,0,0,0,90740.218,83178.533
26,Sub26,16,54.2,0.24,2.31,0.10427136,307.252,0,0,0,0,0,0,0,0,0,0,0,110610.642,101393.088
27,Sub27,57,44,0.98,170.48,1.51682244,219809.594,0,0,0,0,0,0,0,0,0,0,0,79131453.74,72537165.93
28,Sub28,24,33.3,0.38,2.24,0.24764448,9.183,0,0,0,0,0,0,0,0,0,0,0,3305.735,3030.257
29,Sub29,28,42.1,0.16,2.03,0.12164992,45.163,0,0,0,0,0,0,0,0,0,0,0,16258.674,14903.784
30,Sub30,12,50.3,0.19,0.97,0.06191112,105.887,0,0,0,0,0,0,0,0,0,0,0,38119.294,34942.686
31,Sub31,7,53.8,0.82,8.51,0.15586396,602.738,0,0,0,0,0,0,0,0,0,0,0,216985.57,198903.439
32,Sub32,21,55.2,0.35,6.38,0.1995819,787.939,0,0,0,0,0,0,0,0,0,0,0,283657.886,260019.729
33,Sub33,24,43.3,0.16,1.06,0.10427136,1331.691,0,0,0,0,0,0,0,0,0,0,0,479408.869,439458.13
34,Sub34,40,35.7,0.12,0.7,0.1303392,727.462,0,0,0,0,0,0,0,0,0,0,0,261886.296,240062.438
35,Sub35,25,28.8,0.11,0.85,0.0746735,121.319,0,0,0,0,0,0,0,0,0,0,0,43674.949,40035.37
